MOODLE COURSE STRUCTURE Ś DATA ENTRY REQUIREMENTS,,,,,,,,,,
Complete one row per activity. Work top to bottom within each module. Columns marked * are required.,,,,,,,,,,
COURSE & MODULE,,,,ACTIVITY,,,,PREREQUISITE,QUIZ SETTINGS,NOTES
Course Name *,Module No. *,Module Name *,Module Description,Activity Order *,Activity Type *,Activity Title *,Activity Description,Prerequisite Module,Quiz ¢ Assessment Type,Notes
Job Search & Career Readiness,1,Understanding the Job Market,Finding work starts with understanding how the job market actually works. This module gives you a realistic picture of how employers hire and what they are really looking for.,1,Video,How Ethiopian Employers Hire,"Understand the typical hiring process in Ethiopian companies: job postings, referrals, recruitment agencies, and internal promotions.",None,,
,,,,2,Video,What Employers Actually Look For,"Discover that employers care about attitude, reliability, and learning speed as much as qualifications. Learn to position yourself as the candidate they need.",,,
,,,,3,Video,Identifying Your Skills and Strengths,"Complete a simple self-assessment: what can you do, what do you enjoy, what have you achieved, and what kind of work environment suits you best?",,,
,,,,4,Note,Reading material for module 1,,,,
,,,,5,Quiz,Module 1 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,Multiple Choice,
,2,Building Your Professional Profile,"Before you apply for any job, you need to present yourself professionally. This module helps you build the documents and online presence that open doors.",1,Video,Writing a Strong CV,"Learn the structure of a professional CV that Ethiopian employers expect. Build your own CV step by step using a clean, proven template.",Module 1,,
,,,,2,Video,Writing a Cover Letter That Gets Read,"Learn to write a brief, compelling cover letter that explains why you are applying, what you bring, and why this specific role excites you.",,,
,,,,3,Video,Building a Professional Online Presence,Set up or improve your LinkedIn profile and learn how to present yourself professionally in digital spaces where employers search for candidates.,,,
,,,,4,Note,Reading material for module 2,,,,
,,,,5,Quiz,Module 2 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,Multiple Choice,
,3,Searching and Applying Effectively,"Most people apply for jobs randomly and hope for the best. This module teaches you a systematic, focused approach that dramatically improves your chances.",1,Video,Where to Find Job Opportunities,"Explore all the channels: job boards, company websites, Telegram groups, recruitment agencies, networking events, and direct outreach in Ethiopian markets.",Module 2,,
,,,,2,Video,Tailoring Every Application,Learn why sending the same CV everywhere gets you nowhere. Practice customising your application for each specific role and employer.,,,
,,,,3,Video,Following Up Without Being Annoying,"Learn the professional art of following up after submitting an application: when to do it, how to do it, and what to say.",,,
,,,,4,Note,Reading material for module 3,,,,
,,,,5,Quiz,Module 3 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,Fill in the Blank,
,4,Interview Skills,"The interview is your moment. This module prepares you to walk in confident, answer any question clearly, and leave a strong impression that gets you the job.",1,Video,Preparing for Any Interview,"Learn the preparation checklist: research the company, review the job description, prepare your stories, plan your outfit, and arrive early.",Module 3,,
,,,,2,Video,Answering Common Interview Questions,Practice answering the questions every Ethiopian employer asks: Tell me about yourself. Why do you want this job? What is your biggest weakness? Where do you see yourself in 5 years?,,,
,,,,3,Video,After the Interview: Thank You and Follow-Up,"Learn to send a professional thank-you message, reflect on your performance, and follow up appropriately if you have not heard back.",,,
,,,,4,Note,Reading material for module 4,,,,
,,,,5,Quiz,Module 4 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,Multiple Choice,
,5,Your Career Launchpad,"Getting the job is just the start. This module helps you succeed in your first 90 days, build your reputation, and plan for long-term career growth.",1,Video,Succeeding in Your First 90 Days,"Learn the habits that matter most in a new role: arrive early, ask questions, take notes, deliver on small promises, and build relationships before you need them.",Module 4,,
,,,,2,Video,Building a Professional Reputation,"Discover how consistency, reliability, and a positive attitude build a reputation that leads to raises, promotions, and opportunities you never applied for.",,,
,,,,3,Video,Your Career Roadmap,"Create a simple 1-year and 3-year career plan: where are you now, where do you want to be, what skills do you need, and what steps will you take?",,,
,,,,4,Note,Reading material for module 5,,,,
,,,,5,Quiz,Module 5 Final Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,Short Answer,
